所有的遇见，并非偶然，所有的考验，都有它的意义。,《西西里的美丽传说》
有些风景，一旦入眼入心，即便刹那，也是永恒。,《西西里的美丽传说》
出来混，迟早是要还的。,《无间道》
往往都是事情改变人，人却改变不了事情。,《无间道》
谁都了解生存往往比命运还残酷，只是没人愿意认输。,《无间道》
过去就让它过去，明天还要开始啊。,《无间道》
七宗罪：傲慢、妒忌、暴怒、懒惰、贪婪、贪食、色欲。,《七宗罪》
逃离地狱之路，长而艰难，离开之后，迎来光明。,《七宗罪》
冷漠也是一种解决之道。沉溺于毒品要比面对人生艰辛容易，偷窃比赚钱容易，打小孩比养小孩容易，爱很费心成本昂贵。,《七宗罪》
要想别人听你说话，拍拍他的肩膀是不够的，必须给予他震撼。,《七宗罪》
你爬了十层楼，可能才达到别人的地下室。,《寄生虫》
过得好的人，更容易成为好人。,《寄生虫》
最好的计划就是没有计划。因为一旦定了计划，人生就绝对不会按照计划来。所以做人就得没有计划，没有计划也就不会出差错。,《寄生虫》
在当今的年代，做一个人极其不易，做一个有血有肉的人，而不是东拼西凑地糅合起一些人格特质。,《消失的爱人》
婚姻就是互相妥协、努力经营，然后更加努力地经营、沟通和妥协，随后再来一轮经营。凡入此门者，请万勿心存侥幸。,《消失的爱人》
爱情是这世上难以言尽的无常，它有着诸般化身：爱情交织着谎言，交织着怨恨，甚至交织着谋杀；盛放的爱逃不开恨，它是一朵娇艳欲滴的玫瑰，散发出一抹幽幽的血腥。,《消失的爱人》
如果你打算要办一件事，而你又想知道此事是否妥当，那就想象一下那件事堂而皇之地印在报纸上，全世界的人都看得到。,《消失的爱人》
小时候，谁都觉得自己的未来闪闪发光，不是吗？但是一旦长大，没有一件事会遂自己心愿。,《被嫌弃的松子的一生》
要么伤心地长吁短叹，要么沉醉于悲伤中，要么草草的了结了一生，要么笑着搪塞过去，将错就错。,《被嫌弃的松子的一生》
人的心灵是脆弱的，难以做到为自己恨的人祈祷。原谅不可原谅的人，并为之祈祷，这就是上帝的爱。,《被嫌弃的松子的一生》
想要在这个世界上留下自己活过的证据，因为好不容易生而为人。,《被嫌弃的松子的一生》
不管何时何地，做你想做的事永远都不嫌晚。,《美国往事》
孤独并不可怕，可怕的是恐惧孤独。,《美国往事》
你要一直不停地往前走，不然你不会知道生活还会给你什么。,《美国往事》
这里必须说说恐惧，它是生活惟一真正的对手，因为只有恐惧才能打败生活。,《少年派的奇幻漂流》
人生就是不断的放下，但最遗憾的是，我们来不及好好告别！,《少年派的奇幻漂流》
如果我们在人生中体验的每一次转变都让我们在生活中走得更远，那么，我们就真正的体验到了生活想让我们体验的东西。,《少年派的奇幻漂流》
沾沾自喜者只管自喜就是，但就别人说三道四则属多管闲事。,《罗生门》
较之希望得到什么，我们更多是同"能够"得到什么达成妥协。,《罗生门》
撒谎是人之本性，在大多数时间里我们甚至都不能对自己诚实。那是因为人们太脆弱了所以才撒谎，甚至是对自己撒谎。,《罗生门》
我所认为最深沉的爱，就是我把自己活成了你的样子。,《这个杀手不太冷》
事情总是这样的，只有当你真正感受到对死亡的恐惧，你才会学到要珍惜生命。,《这个杀手不太冷》
有些爱，也许从未说出口，才愈加显得珍贵。,《这个杀手不太冷》
隐藏真相很痛苦，就算怀着秘密抓住了幸福，想必也不会有真正的幸福感受。肯定会终生抱着自负的念头，没有片刻得到安宁。,《嫌疑人x的献身》
